"vendor_id","vendor_address","Geohash","permitType",lastCheckup,"vendorName","vendor_id"
"NA","13215 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnvup","Mobile Food","04-20-2023","COA - GBJB'S","22225"
"NA","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","04-25-2024","COA - EL POLLO RICO EXPRESS #7","23832",
"NA","408 E Rundberg Ln, Austin, Texas 78753","9v6s9nb5","Mobile Food","05-09-2024","COA - PUPUSERIA LA BENDICION","23968",
"NA","2101 MANOR RD AUSTIN, TX 78722 ","9v6s2342","Mobile Food","11-07-2023","COA - ABO YOUSSEF","23199",
"(512) 828-9599","3210 AMY DONOVAN PLZ, AUSTIN, TX 78758","9v6sbjt2","Mobile Food","03-28-2024","COA - LUMI'S CREPES","23765", 
"NA","9710 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbhr","Mobile Food","01-23-2024","COA - EL CHAPIN VELOZ #2","23242", 
"NA","13497 N US 183 HWY SVRD NB, AUSTIN, TX 78729","9v6mnxpw","Mobile Food","04-04-2024","COA - SWEET CAROLINE'S SNOW SHACK #3 {23781) ","128861", 
"NA","11444 MANCHACA RD, AUSTIN, TX 78748","9v67t9r8","Mobile Food","07-13-2023","COA - DAVE'S TACOS","22605", 
"(512) 992-5164","5700 MANCHACA RD Unit 540, AUSTIN, TX 78745","9v67ykxc","Mobile Food","08-31-2023","COA - POTLUCK, THE","22819", 
"(512) 329-0005","5804 BURLESON RD, AUSTIN, TX 78744","9v6eb71w","Mobile Food","08-01-2023","COA - CJ'S TACOS","23214", 
"(512) 317-5655","5303 NUCKOLS CROSSING RD , AUSTIN, TX 78744","9v67zbkt","Mobile Food","05-02-2024","COA - PELONCITOS","22152", 
"NA","9506 MIDDLE FISKVILLE RD, AUSTIN, TX 78753","9v6s9nep","Mobile Food","08-15-2023","COA - LA COCINA DE CARMELITA","22720", 
"(410) 830-1689","2505 WEBBERVILLE RD, AUSTIN, TX 78702","9v6s0mpn","Mobile Food","03-07-2024","COA - MARYLANDER, THE","23602", 
"(512) 679-9186","13422 DESSAU RD, AUSTIN, TX 78660","9v6sfnyc","Mobile Food","10-26-2023","COA - TAQUERIA SELENA #2","23026", 
"NA","5327 CAMERON RD, AUSTIN, TX 78723","9v6s2tgy","Mobile Food","04-25-2024","COA - EL NORTENO #2","23666", 
"NA","9027 NORTHGATE BLVD, AUSTIN, TX 78758","9v6sb2tn","Mobile Food","11-21-2023","COA - TAQUERIA LAS NINAS","23096", 
"NA","900 E 11TH ST, AUSTIN, TX 78702","9v6s0nd2","Mobile Food","08-15-2023","COA - FRANKLIN BARBECUE P.O.","22711", 
"NA","2400 PEARL ST, AUSTIN, TX 78705","9v6kr9yg","Mobile Food","01-23-2024","COA - CHEF HONG INC.","23337", 
"NA","3901 PROMONTORY POINT DR, AUSTIN, TX 78744","9v6eb576","Mobile Food","02-10-2024","COA - GARBO'S LOBSTER TRUCK LLC","23016", 
"(248) 259-3343","1300 S LAMAR BLVD, AUSTIN, TX 78704","9v6kp7dc","Mobile Food","04-23-2024","COA - MONTAURIOL, LLC","23631", 
"(801) 230-0306","5801 BURNET RD, AUSTIN, TX 78756","9v6kxfh4","Mobile Food","10-03-2023","COA - SNOBOWLA","22806", 
"NA","2500 E 6TH ST, AUSTIN, TX 78702","9v6s0kqr","Mobile Food","02-29-2024","COA - TACO FLATS TRUCK","23389", 
"(512) 466-0123","6511 BRUSH COUNTRY RD, AUSTIN, TX 78749","9v67vw43","Mobile Food","03-28-2024","COA - LA TRAILA #1","23767", 
"NA","73 RAINEY ST, AUSTIN, TX 78701","9v6kpukg","Mobile Food","06-11-2024","COA - FLAMES JAMAICAN GRILL","24003", 
"(718) 415-8993","1805 S AIRPORT BLVD AUSTIN, TX 78702 ","9v6s28wf","Mobile Food","05-23-2024","COA - SIZZLIN' DOGS","23878", 
"NA","201 LEE BARTON DR, AUSTIN, TX 78704","9v6kpmpz","Mobile Food","01-02-2024","COA - GIMME BURGER","23264", 
"NA","503 E CESAR CHAVEZ ST, AUSTIN, TX 78701","9v6kpv5b","Mobile Food","04-16-2024","COA - DOWNTOWN BURGERS #3","23697", 
"NA","12030 N LAMAR BLVD, AUSTIN, TX 78753","9v6schy5","Mobile Food","02-29-2024","COA - TAQUERIA COMO DIJO LA ABUELA PANCHA","22074", 
"NA","2105 S CONGRESS AVE, AUSTIN, TX 78704","9v6kp9e1","Mobile Food","07-28-2023","COA - TACO MEX ","783717", 
"NA","1505 TOWN CREEK DR, AUSTIN, TX 78741","9v6s01m6","Mobile Food","10-17-2023","COA-PLOW BURGER #1","22794", 
"(713) 822-9031","2307 MANOR RD AUSTIN, TX 78722 ","9v6s23h2","Mobile Food","11-30-2023","COA - PATRIZIS #3 ","852011", 
"(512) 587-4534","2204 AIRPORT BLVD, AUSTIN, TX 78722","9v6s29k6","Mobile Food","01-29-2024","COA - RINCONCITO JAROCHO","22920", 
"NA","10014 N LAMAR BLVD, AUSTIN, TX 78753","9v6sbbtw","Mobile Food","03-28-2023","COA - TACOS MORELOS","22042", 
"NA","8661 SPICEWOOD SPRINGS RD, AUSTIN, TX 78759","9v6mphmk","Mobile Food","08-11-2023","COA - TACASO EL AMIGO","22322", 
"(512) 902-8284","1914 GUADALUPE ST, AUSTIN, TX 78705","9v6krbf1","Mobile Food","11-02-2023","COA - BOTANITAS FRUTAS Y MAS","23089", 
